"control_1" "control_2" "control_3" "feStarved_1" "feStarved_2" "feStarved_3" "h2o2Treated_1" "h2o2Treated_2" "h2o2Treated_3" "feStarved_h2o2Treated_1" "feStarved_h2o2Treated_2" "feStarved_h2o2Treated_3"
"Afu6g07520" 3408 2729 2649 2767 3205 3241 2456 2073 1916 6970 4142 6999
"Afu5g07940" 338 331 281 368 426 446 256 245 165 265 137 275
"Afu3g10530" 43703 19467 18969 3819 5773 4247 23677 19159 16349 3520 2902 2479
"Afu6g14120" 27846 19447 20398 35949 44928 44876 21206 26246 21038 84767 88449 89271
"Afu5g08210" 856 634 613 618 651 709 1033 688 565 271 874 240
"Afu8g01210" 1 3 2 6 0 6 2 3 1 4 3 1
"Afu5g12640" 503 477 449 782 929 939 759 602 513 1134 877 1176
"Afu4g12240" 183 142 152 177 134 161 307 229 187 153 60 130
"Afu4g09750" 2757 2457 2315 1828 2073 2029 2411 2568 2026 1269 1021 1221
"Afu3g02710" 2 1 1 5 3 1 0 1 1 0 3 0
"Afu2g11500" 422 387 356 582 549 615 451 391 361 359 179 417
"Afu4g14150" 3 1 0 7 6 7 5 3 2 4 15 3
"Afu4g09440" 1629 1239 1071 1557 1705 1524 2054 1391 1237 562 156 358
"Afu2g17370" 0 1 0 7 8 9 0 2 1 2 3 1
"Afu4g08690" 25 32 22 96 65 74 53 26 32 21 7 28
"Afu4g10860" 780 653 575 920 979 1031 1921 837 854 206 81 156
"Afu1g11140" 391 313 265 365 381 417 256 253 192 440 203 506
"Afu5g11150" 155 121 125 157 192 173 207 171 130 281 124 321
"Afu5g07020" 3790 3546 3215 3046 3803 4129 4197 4036 3663 2937 3158 3071
"Afu5g12970" 7 4 3 7 15 7 2 5 1 20 7 10
"Afu2g02500" 190 318 284 450 433 543 486 536 401 448 351 535
"Afu1g02800" 795 735 669 678 657 749 1091 829 751 302 106 252
"Afu4g06320" 503 372 375 555 638 669 738 619 587 959 1377 865
"Afu4g09150" 740 813 658 501 615 642 1393 983 891 123 110 89
"Afu2g08730" 173 158 103 104 102 129 164 166 120 170 91 179
"Afu5g04030" 1727 1430 1246 1203 1266 1332 1629 1557 1263 767 407 722
"Afu4g09910" 2034 1832 1587 574 818 734 1613 1246 1174 394 292 304
"Afu4g00770" 107 147 139 935 831 971 611 803 486 747 593 521
"Afu1g01180" 10 5 3 40 56 44 12 12 10 17 21 12
"Afu7g07090" 268 222 224 130 186 223 210 236 176 112 126 81
"Afu2g05990" 3440 2683 2774 2593 3062 3119 3307 3818 2922 3180 2968 2882
"Afu8g07040" 4 4 1 3 1 1 3 2 1 1 2 2
"Afu7g01760" 18 20 19 26 23 24 34 22 24 5 6 7
"Afu6g12180" 2506 1832 2297 1686 2108 1753 1091 1730 1287 6985 16894 6207
"Afu1g06790" 3263 2795 2710 2464 2955 3136 3255 3533 3046 1364 857 982
"Afu3g00340" 2388 1822 1775 2718 2818 2774 3224 2454 1910 657 407 495
"Afu7g03650" 1269 1032 1058 1464 1577 1803 1438 1415 1172 1598 1107 1791
"Afu1g05745" 543 456 371 211 254 215 464 478 369 369 148 286
"Afu4g03830" 4252 3145 2941 508 754 580 2756 2825 2596 1688 2701 1778
"Afu4g00180" 22 8 10 11 9 16 5 10 7 9 10 8
"Afu1g12640" 231 229 227 248 282 266 308 246 261 1266 2409 1231
"Afu8tD(GUC)9" 0 0 0 1 0 0 0 0 1 0 0 1
"Afu3g13910" 1307 1145 1139 1189 1109 1315 1410 1438 1159 568 232 524
"Afu3g08500" 1698 1398 1231 2001 2513 2365 1484 1488 1169 372 245 282
"Afu8g05490" 1212 1035 931 959 1072 980 1155 1072 887 2864 2352 2634
"Afu5g14990" 98 105 77 117 176 175 186 157 134 133 59 129
"Afu1g10670" 1321 1003 1038 1641 1767 1818 1536 1471 1146 3140 1437 3156
"Afu4g06775" 24 24 30 31 37 52 33 23 16 13 17 16
"Afu6g06600" 98 100 78 123 132 142 121 101 77 28 11 23
"Afu2g12940" 562 452 464 774 1015 1093 608 630 496 1102 830 1018
"Afu3g06320" 184 168 148 181 148 174 248 212 177 75 50 36
"Afu3g14830" 161 120 140 164 153 149 225 148 132 79 43 72
"Afu6g10610" 1227 935 923 1232 1128 1238 1419 1357 1014 694 462 603
"Afu7g00410" 274 295 263 186 259 270 380 276 273 443 289 380
"Afu5g09360" 938 776 762 1175 1270 1402 1295 1051 942 2093 1475 2201
"Afu2g10590" 3690 3109 2841 3388 3850 3920 3808 3513 2868 1647 1153 1412
"Afu2g13690" 4568 2738 2619 512 564 552 1247 1079 1004 2193 7129 2564
"Afu5g02390" 276 286 269 65 77 69 209 152 172 609 1093 616
"Afu8g05100" 432 448 342 685 716 741 576 466 401 766 464 776
"Afu8g01960" 74 95 73 167 158 183 103 90 70 19 25 28
"Afu3g07630" 63 57 61 136 114 140 98 62 58 126 40 126
"Afu4g10990" 475 411 367 491 531 485 811 617 439 310 220 330
"Afu2g17080" 1303 1199 1128 1621 1761 1959 1829 1363 1128 2816 1655 2922
"Afu3g07860" 17195 10089 9520 5589 11018 8182 13537 12693 10739 6104 9186 4584
"Afu2g01190" 1322 848 950 2210 2181 2279 987 1233 746 787 133 681
"Afu4g00650" 0 0 0 0 1 0 0 0 1 1 0 0
"Afu3g06350" 151 96 112 81 99 122 152 176 134 147 88 159
"Afu4g03120" 428 401 547 133 205 172 544 526 494 198 190 136
"Afu3g08750" 2238 1763 1723 1620 1967 1733 3243 2522 2120 3918 3922 3800
"Afu5g03070" 228 206 179 148 205 211 182 177 150 147 31 118
"Afu3g11010" 511 168 192 95 124 107 119 102 80 55 32 50
"Afu3g01060" 45 17 36 18 24 24 31 36 30 25 22 24
"Afu1g01175" 0 0 0 2 0 0 1 1 0 0 0 3
"Afu8g00940" 264 973 1137 1695 1893 2132 1282 1776 1408 902 3491 782
"Afu2g14460" 809 549 595 1607 1437 1560 436 522 402 555 438 586
"Afu1g08980" 955 851 757 520 436 593 1166 1026 963 415 169 319
"Afu5g06940" 55 32 39 374 424 457 123 105 51 185 216 101
"Afu2g04560" 731 730 637 208 274 328 742 535 507 359 524 336
"Afu2g10330" 632 601 578 912 860 840 875 790 621 1665 1354 1629
"Afu5g09810" 152 171 162 262 283 346 242 218 153 208 134 252
"Afu3g01155" 78 89 76 213 219 219 155 87 76 34 7 28
"Afu8g07310" 2 2 2 1 5 9 8 20 5 0 1 0
"Afu5g12110" 931 574 548 731 767 898 777 822 554 2022 2789 2316
"Afu1g10240" 59 27 33 40 69 53 36 44 40 30 12 17
"Afu2g14970" 6827 5079 4916 2968 3108 3320 5345 5366 4417 5019 2979 4867
"Afu1g00970" 29 26 28 28 41 48 22 39 23 24 19 23
"Afu1g12260" 1220 1075 979 1562 1722 1878 1477 1634 1244 2390 2222 2555
"Afu2g06280" 1170 1059 933 1731 1726 2050 1667 1348 1030 1570 1002 1663
"Afu5g09480" 945 763 775 3750 3917 4251 1224 1117 787 1890 1084 1572
"Afu1g11450" 2536 2080 2070 2169 2884 2786 2330 2353 1813 820 415 650
"Afu4g11780" 21 24 13 20 22 28 42 17 16 17 2 11
"Afu4g12770" 207 164 181 131 153 181 273 281 204 668 519 735
"Afu5g02900" 245 208 224 308 326 337 325 281 216 330 238 260
"Afu2g02440" 1993 1611 1536 1728 1933 2233 2931 2855 2277 630 310 453
"Afu5g06640" 1 0 0 1 3 4 3 1 4 0 1 0
"Afu5g01140" 0 1 1 0 0 0 3 1 2 0 0 0
"Afu7g01580" 133 142 115 145 156 133 235 149 116 201 35 132
"Afu5g02030" 767 655 578 830 778 862 876 730 584 910 210 864
"Afu3g08265" 783 650 639 828 824 975 833 829 623 741 441 820
"Afu7g02280" 616 516 498 571 640 666 694 618 570 458 210 418
"Afu7g06090" 283 262 262 409 357 426 693 476 458 303 352 314
"Afu1g15220" 376 328 337 300 384 400 411 435 430 183 177 191
"Afu1g06330" 4665 3600 3350 2320 3320 3240 3565 3321 2745 918 1393 859
"Afu2g14260" 706 635 568 925 976 1013 946 766 743 998 753 1084
"Afu4g00160" 2 0 0 24 13 19 4 1 1 2 2 2
"Afu7g03720" 433 459 357 642 637 690 952 641 543 697 408 748
"Afu5g03220" 487 397 421 509 491 530 648 502 438 639 387 501
"Afu2g10960" 1136 919 894 805 890 943 1084 1019 803 463 122 440
"Afu5g00495" 50 37 32 39 34 33 57 68 39 4 3 6
"Afu4g09010" 1920 1683 1445 1992 2267 2343 2333 1957 1630 2479 1410 2384
"Afu2g15860" 205 132 140 48 47 39 447 270 233 46 15 32
"Afu6g03040" 282 257 223 373 357 431 386 351 312 213 286 130
"Afu3g05730" 1586 1255 1180 1199 1362 1329 1327 1469 1177 542 224 753
"Afu4g10800" 17950 16068 15364 7013 7217 8004 14978 16698 13892 2151 884 1542
"Afu3g06810" 624 679 531 1178 1078 1298 1525 839 830 418 581 392
"Afu4g03321" 325 301 262 233 200 245 449 686 490 2838 2137 2312
"Afu4tI(UAU)1" 0 0 1 1 1 1 0 0 1 3 1 1
"Afu7g04050" 82 57 64 141 141 129 148 114 112 70 32 74
"Afu8g03960" 170 115 118 220 218 216 241 203 164 407 237 382
"Afu3g06390" 339 267 226 336 263 316 564 415 314 240 134 193
"Afu8g06270" 79 54 45 103 120 131 144 150 118 221 1024 223
"Afu2g00100" 1329 1367 1274 1594 1653 1729 1605 1692 1483 522 223 515
"Afu3g14270" 132 95 86 247 236 257 145 104 86 496 107 438
"Afu3g00220" 27 28 30 34 42 34 42 38 27 22 11 11
"Afu5g00870" 312 318 349 498 772 702 542 721 433 895 225 905
"Afu2g01980" 530 552 488 576 615 820 479 534 465 315 304 342
"Afu2g10550" 9943 6335 5989 4748 6089 6048 5788 5894 4857 2415 2837 2167
"Afu5g12460" 562 487 458 439 450 488 1248 512 587 40 4 34
"Afu2g15820" 528 487 412 921 930 1038 778 615 508 1393 986 1521
"Afu7g03850" 309 258 213 701 632 723 315 343 255 1568 2830 1572
"Afu5g02320" 4807 4248 4470 3413 3333 3542 4649 5503 4601 5400 8751 5723
"Afu7g05085" 40 26 37 13 12 20 31 19 16 5 2 7
"Afu6g08530" 1074 845 863 1177 1358 1310 1523 1227 1001 2384 2633 2035
"Afu5g02750" 10209 7927 7896 3873 4515 4547 7317 8337 6402 3721 3019 3651
"Afu5g09080" 688 588 545 639 666 703 805 633 512 391 142 404
"Afu3g13760" 424 365 354 790 776 804 384 556 343 821 648 832
"Afu4g13872" 43 30 26 174 165 183 51 44 36 23 8 20
"U1-2" 224 82 85 8 19 18 37 35 55 83 37 75
"Afu5g02690" 522 422 418 216 285 272 633 530 482 386 163 409
"Afu7g08370" 32 23 12 35 38 33 33 26 27 2 2 4
"Afu7g05820" 313 299 287 253 279 266 288 313 273 433 315 467
"Afu4g03040" 199 203 195 255 261 357 223 248 184 107 106 95
"Afu2g16860" 79 70 66 322 241 308 179 149 115 1877 2802 2141
"Afu5g09040" 8 7 8 12 16 11 16 12 12 9 2 12
"Afu5g00460" 1 1 1 0 1 0 0 1 0 1 0 0
"Afu4g03740" 497 463 474 544 581 679 365 335 320 580 955 413
"Afu2g04810" 76 83 69 83 92 112 137 96 98 32 38 31
"Afu6g13130" 372 397 307 537 468 521 647 403 342 985 717 853
"Afu1g00610" 258 260 190 477 410 399 480 271 207 816 508 741
"Afu3g15230" 43 26 33 101 108 117 23 33 19 117 264 121
"Afu6g03510" 4089 2404 2195 312 348 322 2910 912 1206 276 256 237
"Afu1g08790" 5241 4228 4140 5807 6174 7183 6528 6228 5136 6329 4114 6123
"Afu2g12160" 595 638 459 452 553 465 582 593 476 1324 1609 1095
"Afu4g11467" 417 361 298 415 448 424 490 409 311 576 214 496
"Afu1g15540" 169 138 123 503 493 607 91 165 123 548 417 625
"Afu1g12240" 270 195 190 63 66 53 90 101 94 128 96 151
"Afu7g00970" 122 195 165 4492 3428 5587 591 1762 1034 1117 2495 1500
"Afu2g10750" 16199 11062 10244 6938 8448 9272 15096 14529 12279 12736 26242 14035
"Afu6g10540" 148 168 116 255 282 303 244 217 150 122 79 115
"Afu6g09000" 889 651 588 725 831 887 970 772 665 888 2412 727
"Afu4g00970" 770 623 596 1392 1285 1500 931 742 660 266 38 225
"Afu1g17720" 0 0 0 0 0 0 0 0 0 0 0 0
"Afu3g02760" 50 31 27 177 177 232 57 59 50 60 23 49
"Afu2g16840" 1428 1184 1144 1575 1826 1834 1785 1628 1341 1428 1161 1349
"Afu2g08300" 660 547 484 638 528 556 772 657 491 441 222 457
"Afu7g05530" 291 249 228 380 365 461 442 361 305 748 452 767
"Afu5g03210" 198 153 136 174 169 169 155 125 128 137 31 132
"Afu3g05970" 1944 1691 1535 2069 2108 2130 2588 2415 1994 3243 3245 3048
"Afu6g09210" 146 134 115 214 180 219 220 163 172 279 89 218
"Afu3g09190" 24 22 15 12 7 19 25 25 20 3 5 0
"Afu3g07580" 0 0 1 1 0 1 0 1 0 0 1 3
"Afu4g14790" 1194 1280 1177 91 162 93 2651 1895 1627 20 5 19
"Afu8g07290" 0 0 0 0 0 0 0 0 0 0 0 0
"Afu5g09540" 163 180 123 232 184 213 251 171 133 108 161 104
"Afu8g07360" 62 44 57 116 95 97 93 72 59 11 6 11
"Afu8g01640" 3 3 2 2 1 2 2 0 1 1 0 1
"Afu4g02780" 8 9 11 65 54 79 28 16 19 33 7 38
"Afu1g17430" 19 14 13 9 8 4 9 4 18 13 42 16
"Afu1g14750" 1652 1395 1372 2775 3096 3279 2226 1864 1600 3268 2509 3689
"Afu1g15070" 603 527 521 920 884 1012 1025 785 651 598 295 524
"Afu6g02120" 3311 2511 2292 3104 3512 3770 2526 2637 2148 2051 4111 2239
"Afu8g07235" 172 141 147 262 274 324 222 208 202 314 243 335
"Afu6g13100" 217 224 181 374 333 417 329 261 209 352 186 301
"Afu4g04290" 538 436 512 1783 1719 1926 599 532 399 891 2479 992
"Afu5g06210" 3808 2334 2179 1202 1294 1149 2325 2122 1862 2964 4601 2372
"Afu2g07950" 859 841 782 1030 1187 1193 952 1027 762 1296 483 1363
"Afu8g02200" 1418 1191 936 256 389 220 2545 3128 2596 107 29 46
"Afu4g12320" 94 78 81 161 151 151 172 127 100 72 12 50
"Afu2g07890" 18 14 13 17 25 13 19 8 7 5 3 1
"Afu6g12350" 1049 664 641 646 651 568 1171 893 713 2001 1885 1556
"Afu2g01510" 181 148 135 229 201 220 288 241 176 129 38 91
"Afu2g00260" 13 26 13 85 48 81 71 36 22 35 14 43
"Afu1g10910" 13599 11369 10660 9162 10542 10729 11870 11567 9680 2925 2236 2302
"Afu2g07820" 95 94 61 44 48 47 126 87 69 19 0 17
"Afu4g00140" 0 0 0 0 0 0 0 1 0 0 0 0
"Afu4g10380" 584 545 479 676 877 964 732 644 533 618 512 679
"Afu2g10700" 69 58 42 117 127 163 129 123 100 58 30 54
"Afu5g11550" 474 455 388 110 150 163 460 475 354 61 54 51
"Afu2g16790" 433 373 305 358 345 356 462 343 281 202 116 101
"Afu1g06170" 4427 3713 3614 2875 2973 3008 4994 4628 3878 5933 4197 5893
"Afu2g07930" 90 74 71 63 112 82 102 105 92 103 59 93
"Afu3g01430" 1418 1213 1180 712 886 834 1441 1636 1287 3668 7644 3521
"Afu3tP(AGG)3" 0 0 0 0 0 1 0 0 2 0 0 1
"Afu6g06520" 1587 1117 1146 2361 3111 2876 1144 1058 846 3564 2826 3190
"Afu6g13530" 540 529 441 559 581 668 576 571 530 951 985 999
"Afu7g05640" 123 95 103 189 192 217 98 86 79 70 68 64
"Afu1g06370" 502 404 334 602 625 623 488 488 393 389 96 355
"Afu1g05500" 8459 7659 6984 3596 3821 4030 6826 8071 6474 1544 821 1138
"Afu8g02510" 12 13 14 2 4 2 15 19 17 1 3 3
"Afu7g06770" 990 1109 1033 238 250 252 538 677 549 802 1256 730
"Afu4g10190" 1628 1222 1331 295 320 279 3062 1924 1924 2013 2736 2134
"Afu4g08350" 648 569 472 808 699 747 759 673 547 806 649 709
"Afu2g05140" 299 257 276 1546 1495 1736 555 567 443 158 45 178
"Afu7g05650" 1775 1292 1263 2036 2178 2358 3395 2370 2130 1157 343 1187
"Afu1g06890" 574 536 466 514 562 506 810 602 515 345 582 365
"Afu3g03000" 45 33 33 73 78 76 51 31 32 23 10 15
"Afu5g05670" 534 450 378 896 998 1076 881 596 468 571 182 446
"Afu1g15310" 715 600 513 635 887 821 877 819 589 430 174 402
"Afu1g12390" 2246 2140 1765 1856 1908 2071 2500 2284 1738 1419 1021 1248
"Afu3g03630" 1117 757 754 437 493 428 723 690 579 642 292 453
"Afu3g03990" 25 22 17 23 23 19 18 10 5 38 18 31
"Afu2g13030" 1023 848 763 695 802 706 714 727 611 610 441 630
"Afu3g13460" 680 568 598 992 938 1051 855 715 623 615 815 664
"Afu2g11840" 7173 5128 5401 5083 7287 6603 7161 6871 5686 2648 1581 2127
"Afu5g11630" 1690 1541 1416 1866 1593 1846 1966 1714 1369 1330 930 1143
"Afu6g08160" 175 151 145 143 120 126 212 181 137 71 46 37
"Afu5g09170" 194 152 140 271 286 276 267 265 169 91 71 101
"Afu2g04170" 7462 4503 4232 2648 3158 3650 4826 4831 4191 3902 6878 4962
"Afu6g02390" 280 237 198 403 394 320 481 350 283 357 122 328
"Afu8g05780" 34 18 20 14 10 8 234 200 145 42 126 39
"Afu3g13120" 59 49 53 58 65 43 55 48 46 12 14 16
"Afu2g10470" 400 356 294 545 530 606 563 376 318 276 42 203
"Afu4g07380" 586 548 420 689 790 811 646 589 466 1064 761 1039
"Afu3g14090" 5252 3454 3869 1212 2410 1649 4574 4471 3379 825 1007 474
"Afu4g10120" 2867 1857 1942 354 470 396 2204 2334 1814 72 26 59
"Afu1g02040" 174 154 146 289 255 247 285 208 159 480 1127 396
"Afu3g10220" 1105 942 915 1638 1760 1840 1252 1074 921 783 207 682
"Afu2g09920" 207 162 162 161 236 201 174 193 136 121 50 90
"Afu2g04800" 0 0 0 0 0 1 0 0 0 0 0 0
"Afu8g02120" 2077 2091 2295 2981 3103 3508 3726 3360 2730 712 3853 682
"Afu5g02910" 1940 1939 1733 1498 1390 1751 1927 1991 1682 678 482 527
"Afu5g01900" 1566 1213 1293 1446 1867 1797 1905 1559 1308 1961 2949 1563
"Afu6g11330" 72 79 68 96 106 93 109 87 89 50 39 60
"Afu3g09395" 0 0 0 0 0 3 1 0 0 0 0 0
"Afu3g14610" 465 422 381 222 203 204 796 405 380 155 128 109
"Afu3g14640" 38 34 34 173 151 149 39 43 29 175 88 188
"Afu1g01650" 79 69 54 67 86 78 59 84 48 19 7 20
"Afu2g12420" 687 651 534 1021 1299 1194 883 682 532 232 491 196
"Afu6g05150" 4651 3794 3795 4412 4608 5074 4140 4149 3587 5344 2814 5001
"Afu6tT(CGU)2" 0 0 0 0 0 0 0 0 0 0 0 0
"Afu4g11410" 760 672 513 805 863 987 975 723 553 235 144 184
"Afu4g09760" 320 269 213 327 312 346 328 293 209 447 258 480
"Afu1g12950" 722 636 608 822 952 951 818 754 525 515 221 480
"Afu7g00090" 14 1 1 0 0 0 4 1 0 1 4 0
"Afu6g02315" 4 1 0 2 1 1 2 1 0 2 0 0
"Afu4g00670" 116 155 142 251 256 322 367 275 244 704 796 658
"Afu2g10730" 1272 1022 862 1444 1531 1728 1629 1607 1309 760 510 769
"Afu2g06205" 298 245 229 431 396 413 362 333 283 499 389 483
"Afu1g05080" 5846 5066 4596 2300 2039 2140 4751 5401 4191 501 197 336
"Afu6g04550" 45 44 47 94 115 141 97 72 63 42 21 31
"Afu4g03540" 20 8 5 29 28 33 22 16 12 70 37 51
"Afu1g03110" 3841 3582 3324 1599 1776 1639 4049 4231 3319 687 288 576
"Afu7g00310" 0 0 1 2 0 0 0 0 1 1 0 2
"Afu5g01080" 151 115 95 103 121 122 117 99 98 96 76 87
"Afu3g08420" 930 826 783 955 955 1004 918 897 755 969 452 912
"Afu3g07230" 1113 756 768 980 859 951 1130 1141 874 755 519 573
"Afu5g14680" 34853 24328 23035 4101 5187 5143 26515 32907 26495 6556 12024 8149
"Afu5g08235" 937 679 815 778 789 811 1008 998 725 2430 1786 2354
"Afu3g09090" 286 302 263 453 401 352 379 335 260 1055 1074 1109
"Afu2g04020" 3829 3451 3422 3740 4623 4581 4077 3277 3097 1107 952 942
"Afu7g05520" 186 185 147 241 188 258 257 203 182 82 81 70
"Afu1g05510" 1130 1058 1002 777 911 868 1194 1095 861 1376 989 1350
"Afu2g08470" 2279 1682 1682 1497 1962 1831 1928 1895 1537 544 811 569
"Afu5g03360" 341 273 226 453 457 499 446 362 302 736 471 656
"Afu5g13180" 290 195 167 1729 1973 1865 661 575 356 323 82 309
"Afu2g05480" 156 175 128 172 189 256 218 250 193 119 126 105
"Afu5g15000" 66 61 63 100 132 119 306 332 218 2618 2322 2034
"Afu5g12930" 246 232 245 602 582 673 308 228 203 242 107 225
"Afu1g13390" 765 644 598 584 770 790 799 804 646 300 128 250
"Afu1g14480" 88 212 171 34 46 33 265 172 134 78 298 79
"Afu1g06820" 1684 1418 1465 1196 1304 1307 1862 1723 1479 5442 3556 5298
"Afu6g04910" 865 801 709 703 753 805 895 901 674 310 147 237
"Afu4g07320" 345 318 278 310 352 369 411 336 277 336 296 316
"Afu7g07140" 56 56 48 44 44 44 70 37 38 26 21 17
"Afu6g09720" 272 2803 3109 21 25 10 7363 2627 1394 63 14 34
"Afu1g14700" 93 96 86 183 149 141 223 130 82 207 106 147
"Afu1g14810" 1397 1239 1025 989 1711 1593 1825 1429 1218 377 135 263
"Afu1g17070" 3061 1923 1565 538 705 568 3711 3533 2779 346 276 191
"Afu1g01720" 1526 1164 1390 2003 1996 1970 2010 1592 1328 2878 2260 2474
"Afu3g02640" 84 120 120 751 758 788 245 207 135 2120 1571 2195
"Afu5g11900" 1027 795 785 1076 1180 1261 1158 1067 834 1350 662 1393
"Afu2g12400" 5506 4815 4365 5692 5699 6537 4940 5036 4309 2749 2178 2889
"Afu6g10850" 22 23 19 47 41 41 42 42 25 17 8 11
"Afu3g11870" 1312 1217 1001 1169 1170 1412 1778 1196 1177 290 414 245
"Afu1g09755" 118 109 124 162 166 254 123 119 107 91 98 72
"Afu1g06910" 73 83 103 79 82 64 157 94 65 24 3 19
"Afu6g03160" 247 135 192 595 605 724 423 584 424 281 201 240
"Afu6g08680" 637 542 472 477 474 391 545 489 383 1634 954 1579
"Afu3g06750" 2403 2240 2266 1225 1327 1385 2758 2717 2108 533 193 442
"Afu3g07440" 69 34 46 233 164 194 80 43 49 97 19 48
"Afu4g01310" 25 15 20 6 11 15 30 19 18 6 16 4
"Afu2g08250" 134 149 130 403 336 426 226 221 196 172 708 175
"Afu8g02300" 0 0 0 1 2 0 0 0 0 0 0 0
"Afu3g05880" 745 594 520 836 794 844 807 656 557 667 210 637
"Afu4g01200" 0 2 1 1 0 2 2 3 2 0 0 1
"Afu6g07390" 1626 1515 1458 1499 1436 1632 1488 1733 1380 1302 766 1341
"Afu3g09380" 335 271 275 351 372 386 463 306 283 1454 956 1285
"Afu7g08390" 0 1 2 4 1 4 1 0 0 0 0 0
"Afu2g11162" 59 47 36 73 63 66 97 71 46 20 5 23
"Afu7g05440" 2840 1846 1798 1627 1793 1761 1932 2121 1565 2001 1378 1722
"Afu7g01620" 5871 3362 3321 1831 2152 1927 3199 2827 2480 5575 8430 5862
"Afu5g13260" 48 31 25 25 60 31 59 41 27 39 31 34
"Afu8g01520" 4 5 2 3 9 5 2 5 1 2 1 1
"Afu8g07140" 122 117 108 141 140 132 225 154 133 30 32 21
"Afu1g13890" 701 672 537 764 714 780 900 809 616 909 650 858
"Afu6g06910" 1314 838 879 749 817 840 893 836 667 1830 1902 1820
"Afu3g13100" 1976 1764 1526 550 718 715 1984 1757 1597 337 271 233
"Afu3g06740" 727 623 631 709 857 897 996 849 732 428 180 400
"Afu1g01850" 291 284 246 311 292 345 589 423 405 422 940 473
"Afu3g13060" 573 427 416 930 1021 1091 741 594 536 401 160 389
"Afu4g05870" 170 196 179 465 471 538 334 241 218 138 92 124
"Afu5g06370" 439 405 411 420 428 513 553 449 377 361 235 450
"Afu6g10070" 143 151 152 275 237 281 233 151 108 33 15 25
"Afu6g03490" 752 1209 1029 79 94 100 2581 974 1213 82 100 108
"Afu2g14980" 286 222 227 361 350 418 313 292 229 478 406 581
"Afu3g06600" 1051 837 676 638 634 525 1483 1170 880 364 530 325
"Afu6g00360" 452 383 351 2075 1777 2279 483 349 358 32988 28339 32300
"Afu1g12660" 1754 1543 1507 3491 3421 3534 2328 2401 1824 9256 9430 9776
"Afu2g10710" 188 142 126 231 223 287 324 242 199 88 41 65
"Afu8g02150" 6 3 5 3 1 3 26 59 28 2 2 5
"Afu1tE(UUC)2" 0 0 0 1 0 0 0 0 0 0 0 0
"Afu6g04265" 390 298 247 440 386 388 406 304 225 780 489 690
"Afu8g01710" 1910 1504 1500 1640 1728 1950 3332 3463 2586 2672 3576 1617
"Afu1g16400" 42 36 30 69 60 71 70 60 40 20 12 17
"Afu2g12050" 797 642 581 1504 1549 1694 1046 866 557 1130 633 1154
"Afu7g01530" 577 435 466 515 514 596 646 681 515 1129 641 1146
"Afu4g04520" 3739 3283 3125 3561 4224 4363 3787 3974 3374 1628 878 1394
"Afu6g07880" 1613 1371 1294 1604 1632 1859 1701 1449 1383 1083 498 894
"Afu2g08770" 505 361 319 238 245 298 465 387 323 752 911 750
"Afu3g00600" 14 5 17 0 0 2 4 2 0 1 1 0
"Afu4g06250" 725 742 635 641 656 773 694 729 617 180 229 196
"Afu2g12990" 470 422 371 537 496 457 716 523 436 655 322 582
"Afu4g14270" 5 1 3 4 7 8 9 2 1 1 4 3
"Afu1g11560" 16 23 17 74 61 67 40 43 35 75 57 51
"Afu7g02610" 804 784 637 682 834 1004 911 909 703 395 270 394
"Afu2g02630" 1142 852 900 783 818 891 1081 1152 900 2312 1305 2374
"Afu2g01610" 390 395 321 468 519 532 631 471 395 216 101 144
"Afu2g04690" 40 50 31 54 60 65 38 51 31 17 6 19
"Afu2g09360" 480 466 407 575 635 690 635 587 496 106 58 97
"Afu2g06000" 7528 5656 7796 1778 2704 3025 18549 17845 13287 15050 136346 19125
"Afu4g11890" 1358 1119 1055 1425 1589 1644 1646 1395 1109 866 278 703
"Afu3g13640" 99 75 78 1 2 0 74 72 52 3 0 1
"Afu6g01840" 472 517 473 325 325 346 1014 794 781 154 197 118
"Afu7g01410" 2361 1544 1380 2165 2161 2069 3091 2466 2055 6951 14812 6081
"Afu1g13240" 150 131 83 222 219 238 166 135 107 174 197 169
"Afu2g14390" 628 495 445 493 446 463 573 424 384 475 84 372
"Afu5g14220" 14 12 10 2 8 4 12 17 6 43 79 32
"Afu4g02720" 986 771 944 1182 1236 1515 577 766 670 413 131 427
"Afu5g02410" 1255 1030 956 1308 1633 1784 1364 1191 1051 2406 1884 2427
"Afu4g14290" 85 72 77 667 794 921 191 86 75 663 1964 541
"Afu1g10990" 486 501 383 305 301 373 477 562 444 121 81 67
"Afu2g01320" 4009 3133 3163 10044 11838 11729 6892 3595 3031 2430 2388 1747
"Afu2g03760" 732 739 657 1024 843 956 989 840 745 484 355 440
"Afu1g16730" 764 792 701 860 791 969 1769 1295 988 509 1078 458
"Afu5g06500" 1547 1304 1184 802 888 897 1599 1266 1165 843 104 815
"Afu2g02290" 810 759 690 471 474 517 1020 790 609 648 610 632
"Afu4g07650" 1921 1586 1564 2473 2583 2675 2694 2127 1742 887 256 903
"Afu3g06530" 2921 3036 2521 5614 5548 6305 5648 4884 4347 981 423 915
"Afu7g05300" 607 494 448 1751 1820 1939 863 1314 684 264 58 169
"Afu5g08810" 1613 1355 1362 157 244 220 1792 1718 1193 60 65 74
"Afu5g08490" 209 176 184 182 231 266 290 247 219 1009 884 1100
"Afu3g06720" 3673 3632 4002 836 968 919 1000 1086 741 702 625 616
