"control_1" "control_2" "control_3" "feStarved_1" "feStarved_2" "feStarved_3" "h2o2Treated_1" "h2o2Treated_2" "h2o2Treated_3" "feStarved_h2o2Treated_1" "feStarved_h2o2Treated_2" "feStarved_h2o2Treated_3"
"Afu6g08670" 306 236 237 385 344 337 415 323 249 883 478 658
"Afu3g12500" 558 439 415 540 637 662 749 626 552 995 2441 1283
"Afu3g09860" 452 364 415 693 797 837 546 490 335 831 524 825
"Afu7g02210" 429 488 379 334 328 450 510 497 422 141 182 181
"Afu1g06100" 188 188 171 113 111 115 329 257 209 197 225 255
"Afu8g04450" 87 71 76 148 128 156 113 97 72 84 28 112
"Afu2g17690" 14 4 4 1 1 4 1 2 2 1 3 1
"Afu6g08390" 2939 2299 2208 1819 2594 2570 2152 2312 1971 1161 746 1020
"Afu4g08390" 158 84 71 426 578 449 110 181 106 39 22 45
"Afu3g02610" 209 175 166 27 32 35 63 99 63 69 145 71
"Afu1g03650" 2241 1665 1625 1247 1411 1665 1316 1919 1402 465 571 352
"Afu2g10500" 9891 9053 8331 4604 4644 5035 8675 9764 8021 1524 647 1249
"Afu2g03900" 811 478 511 318 312 282 332 442 291 351 731 378
"Afu8g06980" 88 258 239 47 56 84 225 960 513 2 32 4
"Afu3g03610" 5429 4917 5075 2081 2485 2748 6293 5072 4767 434 1165 416
"Afu6g09860" 15 19 18 62 48 59 43 29 27 7 1 4
"Afu2g15370" 910 896 890 1055 1131 1175 1371 1334 996 1923 3270 1901
"Afu7g05080" 64 66 55 21 22 22 60 60 39 14 11 25
"Afu8g00470" 914 872 854 2241 2088 2647 2151 1464 1373 1260 1284 1584
"Afu6g11040" 257 191 189 303 343 365 350 241 204 268 175 220
"Afu2g06130" 279 240 230 351 319 377 488 327 250 248 153 216
"Afu2g11510" 2644 2418 2265 2205 2560 3078 2308 2612 2383 975 1311 759
"Afu6g03120" 22 21 27 42 45 48 30 9 22 18 22 15
"Afu4g00470" 0 0 0 0 0 0 0 0 0 0 0 0
"Afu7g04340" 179 145 144 143 239 193 302 261 192 100 39 83
"Afu7g04590" 387 346 288 401 442 491 529 490 353 231 231 225
"Afu2g07560" 771 674 690 801 672 771 998 901 715 542 269 465
"Afu5g06880" 348 301 300 456 602 538 335 257 263 215 148 169
"Afu1g05095" 16 9 20 5 3 10 10 19 10 3 4 2
"Afu2g08560" 960 821 798 870 906 927 1056 955 731 618 263 615
"Afu4g10425" 0 0 0 0 0 0 0 0 0 0 0 0
